iter	Passed	Remaining
0	14	14353
1	25	12612
2	37	12614
3	48	12005
4	59	11805
5	72	12070
6	85	12178
7	99	12334
8	111	12331
9	123	12231
10	136	12267
11	148	12253
12	163	12377
13	174	12306
14	185	12205
15	197	12176
16	209	12101
17	221	12057
18	233	12074
19	246	12082
20	258	12042
21	270	12006
22	279	11885
23	291	11860
24	303	11854
25	316	11847
26	328	11833
27	340	11820
28	353	11824
29	365	11814
30	374	11694
31	385	11673
32	398	11678
33	407	11585
34	420	11580
35	432	11576
36	443	11554
37	453	11486
38	464	11445
39	475	11422
40	487	11399
41	499	11391
42	511	11373
43	522	11344
44	534	11343
45	544	11299
46	556	11279
47	568	11269
48	580	11269
49	591	11235
50	600	11174
51	612	11161
52	623	11148
53	635	11132
54	647	11128
55	660	11128
56	671	11110
57	683	11099
58	695	11086
59	705	11054
60	718	11059
61	730	11055
62	742	11037
63	751	10985
64	763	10983
65	774	10965
66	787	10969
67	799	10959
68	810	10938
69	822	10929
70	835	10932
71	847	10918
72	868	11028
73	886	11095
74	900	11102
75	913	11103
76	927	11112
77	939	11104
78	951	11093
79	963	11084
80	976	11079
81	989	11075
82	1001	11064
83	1013	11051
84	1022	11010
85	1033	10981
86	1046	10977
87	1058	10966
88	1068	10937
89	1081	10930
90	1093	10921
91	1103	10887
92	1115	10880
93	1126	10854
94	1137	10838
95	1149	10824
96	1161	10815
97	1173	10796
98	1184	10780
99	1195	10762
100	1207	10748
101	1219	10733
102	1228	10698
103	1240	10686
104	1250	10656
105	1261	10641
106	1273	10628
107	1283	10598
108	1294	10584
109	1307	10577
110	1318	10559
111	1330	10545
112	1342	10541
113	1352	10511
114	1363	10492
115	1375	10481
116	1384	10449
117	1395	10431
118	1407	10423
119	1419	10411
120	1431	10395
121	1442	10382
122	1454	10371
123	1463	10338
124	1474	10322
125	1486	10307
126	1497	10293
127	1508	10277
128	1520	10264
129	1532	10253
130	1541	10224
131	1553	10217
132	1564	10198
133	1574	10176
134	1585	10161
135	1597	10146
136	1608	10132
137	1618	10111
138	1627	10082
139	1639	10069
140	1651	10062
141	1663	10050
142	1672	10024
143	1684	10011
144	1695	9998
145	1704	9972
146	1716	9959
147	1728	9948
148	1740	9940
149	1751	9927
150	1763	9915
151	1776	9910
152	1788	9901
153	1800	9888
154	1811	9873
155	1822	9861
156	1834	9849
157	1844	9831
158	1856	9819
159	1868	9809
160	1880	9797
161	1891	9782
162	1903	9772
163	1914	9760
164	1926	9748
165	1938	9736
166	1947	9714
167	1959	9702
168	1973	9702
169	1988	9707
170	2001	9705
171	2014	9696
172	2025	9683
173	2037	9672
174	2050	9664
175	2059	9641
176	2071	9629
177	2083	9619
178	2095	9612
179	2106	9594
180	2118	9587
181	2130	9576
182	2143	9568
183	2155	9560
184	2168	9552
185	2180	9541
186	2192	9530
187	2202	9510
188	2215	9505
189	2226	9492
190	2236	9471
191	2248	9463
192	2260	9452
193	2270	9432
194	2282	9423
195	2293	9409
196	2305	9395
197	2317	9386
198	2328	9374
199	2340	9362
200	2352	9350
201	2365	9343
202	2376	9330
203	2387	9315
204	2400	9310
205	2412	9299
206	2422	9278
207	2433	9267
208	2446	9258
209	2457	9244
210	2469	9233
211	2480	9221
212	2493	9212
213	2505	9202
214	2517	9190
215	2530	9183
216	2542	9173
217	2552	9155
218	2564	9143
219	2575	9131
220	2587	9119
221	2598	9106
222	2610	9094
223	2621	9080
